courseID,courseName,description,syllabus,school
MGMT3530 ,Wharton Field Challenge,"Do you want to make a real difference in the lives of a student? Do you want to set kids on a path to becoming financially literate? Do you want to learn leadership skills in the classroom? Here at the Financial Literacy Community Project (FLCP) we are able to create an experience that achieves all three. We partner with various public schools around the West Philadelphia area and teach concepts integral to financial literacy. We teach a wide range of grades from middle school to high school, and work with students to help them learn how to be financially responsible. In addition to teaching in neighboring high schools, we also have group class meetings run by Professor Keith Weigelt on Mondays from 7:00 PM-8:30 PM. We learn about the disparity of wealth and how to best address it while also learning teaching techniques, classroom strategies, and overall basic financial literacy. A basic understanding of personal financial literacy is required.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT3530,University of Pennsylvania
MGMT3880,Venture Acceleration Lab,"This Lab emphasizes experiential learning in evaluating and contributing to “live” startup ventures. The goal of the Lab is to accelerate the development of ventures by providing a structured curricular setting in which mentors with industry expertise as operators and investors provide guidance to full-time venture founders. Undergraduate and MBA students learn through witnessing these interactions and through helping ventures structure their value creation and capture strategies. The latter is facilitated via instructor-led classes on focused venture development concepts. This unique Lab therefore brings together communities which rarely mix: startup founders, enrolled students as potential venture “joiners” and consultants, venture mentors, and technical/academic specialists.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT3880,University of Pennsylvania
MGMT3980,Managing and Motivating,"People are the most valuable asset of any business, but they are also the most unpredictable, and the most difficult, asset to manage. And although managing people well is critical to the health of any organization, most managers don't get the training they need to make good management decisions. Now, award-winning authors and renowned management Professors Mike Useem and Peter Cappelli of the Wharton School have designed this course to introduce you to the key elements of managing people. Based on their popular course at Wharton, this course will teach you how to motivate individual performance and design reward systems, how to design jobs and organize work for high performance, how to make good and timely management decisions, and how to design and change the your organization's architecture. By the end of this course, you'll have developed the skills you need to start motivating, organizing, and rewarding people in your organization so that you can thrive as a business and as a social organization. This course can also only be applied towards unrestricted electives at the undergraduate level.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT3980,University of Pennsylvania
MGMT4010,Growing Social Impact,"This course seeks to address a gap at the core of contemporary entrepreneurship: despite a growing desire to pursue prosocial goals and affect positive change in the world, most founders have little understanding of how to measure, manage, and scale their impact. This creates the risk that financial goals will play an outsized role in decision-making, particularly as the venture scales, leading founders to drift away from social impact aims - or to pursue goals that fail to deliver on their intended impacts. MGMT 401 fulfils the Wharton capstone requirement with a hands-on approach to addressing these issues. Students will work hand-in-hand with the founding teams of pre-selected startups from the Wharton venture community to develop a strategy for measuring social impact, and ensuring fidelity to social goals as the venture goes to market and begins to scale. Projects will be group-based, and will ask students to integrate learnings on social enterprise, impact measurement, and impact investing, with prior coursework on entrepreneurship, social impact, business ethics, leadership, team dynamics, and venture finance. Students will leave the class with a deeper appreciation of the potential for business to be a force for good in the world, and the difficulties that this can pose during the founding and growth stages of a new business. The class will be of value to students who are interested in creating socially impactful businesses, as well as to those who want to work in the ecosystem that supports such ventures (e.g., consulting, or impact investing).",https://apps.wharton.upenn.edu/syllabi/?course=MGMT4010,University of Pennsylvania
MGMT4020 ,Service Lrning Client Project,"MGMT 4020 builds on the foundation established by the pre-requisites in the Leadership Journey. As seniors, you will draw on the self-awareness you acquired in WH1010, the speaking skills you practiced in WH2010, and the teamwork and interpersonal skills you honed in MGMT3010. Moreover, MGMT 4020 serves as a capstone course by giving you the opportunity to work with a robust nonprofit and in order to frame the problems and address the challenges your host organization faces; in the process, you will use your creative and critical thinking skills, apply what you have learned, and reflect on your growth and development through iterative feedback and constructive coaching. As a highly experiential course, MGMT 4020 is relatively unstructured, giving you ample opportunity to demonstrate leadership by providing direction and teamwork by pulling together to deliver results for your host. MGMT 4020 will enable you to draw on your Wharton undergraduate education and apply what you have learned in a way that promises to provide real impact for your host organization and a meaningful and memorable experience for you. It is only open to Wharton seniors. In short, MGMT 4020 gives Wharton seniors the opportunity to: - Engage in a service learning and experiential course - Demonstrate leadership and work as a team on a real, host engagement - Think creatively, critically, and practically for the benefit of your host - Refine your interpersonal communication and presentation skills - Heighten your self-awareness through feedback and reflection.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT4020,University of Pennsylvania
MGMT4090,Huntsman Capstone Study,"The objective of the capstone study is to provide participants with the opportunity to integrate the knowledge gained in various courses Huntsman students take in Wharton and the College in a focused application to a specific project. The project would have sufficient breadth and depth to require participants to draw upon multiple analytical perspectives, theoretical lenses, and stocks of empirical data to collaboratively develop distinctive insights in relation to a given problem. The end product is a paper summarizing the research/application journey of the students, as well as a group presentation highlighting key findings as well as their theoretical and practical implications. Prerequisite: This course is only open to students in the Huntsman Program.",https://apps.wharton.upenn.edu/syllabi/?course=MGMT4090,University of Pennsylvania
MGMT4180,India Startup Ecosystem,"The objective of OIDD/MGMT 418 and the Wharton India Fellows program is to introduce Penn juniors to the entrepreneurship and innovation ecosystem in India through a course covering topics in entrepreneurship, innovation, venture capital and technology in India and then matching students to a specific short-term project with a Bangalore-based early-stage startup or rapidly scaling company. Students will complete preliminary work on the project assignment during the course, and then travel as a group to Bangalore with the instructor for a two week immersion in the company to which they have been assigned for their entrepreneurship project. Penn Wharton Entrepreneurship will cover airfare and lodging expenses for students selected as Wharton India Fellows for the duration of the 2 week immersion in India. For more information: https://entrepreneurship.wharton.upenn.edu/wharton-india-fellows/",https://apps.wharton.upenn.edu/syllabi/?course=MGMT4180,University of Pennsylvania
LGST1000,Ethics & Social Resp,This course explores business responsibility from rival theoretical and managerial perspectives. Its focus includes theories of ethics and their application to case studies in business. Topics include moral issues in advertising and sales; hiring and promotion; financial management; corporate pollution; product safety; and decision-making across borders and cultures.,https://apps.wharton.upenn.edu/syllabi/?course=LGST1000,University of Pennsylvania
LGST1010,Law and Social Values,"This course presents law as an evolving social institution, with special emphasis on the legal regulation of business in the context of social values. It considers basic concepts of law and legal process, in the U.S. and other legal systems, and introduces the fundamentals of rigorous legal analysis. An in-depth examination of contract law is included.",https://apps.wharton.upenn.edu/syllabi/?course=LGST1010,University of Pennsylvania
LGST2020 ,Law of Corp Mgmt & Fnce,"This course provides an introduction to the law of corporate management and finance. The course covers the roles of directors and managers under state corporate law and the federal securities laws. It also considers the rights and responsibilities of other major stakeholders including shareholders, creditors, and employees. Particular attention is given to the law of mergers and acquisitions. Focus in on public corporations, but application of the law to venture firms is also discussed. Alternative organizational forms , such as LLCs, partnerships, and DAOs, are considered. Format: Socratic conversation and some lecture.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2020,University of Pennsylvania
LGST2040 ,Real Estate Law,"This course examines the fundamentals of real estate finance and development from a legal and managerial perspective. The course serves as a foundation course for real estate majors and provides an introduction to real estate for other students. It attempts to develop skills in using legal concepts in a real estate transactional setting. The course will be of interest to students contemplating careers in accounting, real estate development, real estate finance, city planning, or banking. The main topics covered may include the following: land acquisition, finance; choice of entity; tax aspects; management (leasing, environmental); disposition of real property (sale of mortgaged property, foreclosures, wraparound mortgages, sale-leasebacks); and recent legal developments. Lectures and class discussion required.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2040,University of Pennsylvania
LGST2050 ,"Innov, Mktg Strat&Antitr","This course considers business strategy and law, particularly the role of antitrust and intellectual property law in managing innovation. We will examine several highly innovative firms in technology rich areas, considering how they adapt their strategies to the competitive and legal environment, and asking whether antitrust law promotes or hinders innovation. The strategies of both current firms such as Uber, Google, Apple, and Microsoft and historical examples such as American Can Company, Standard Oil, Brown & Williamson Tobacco Co., and Kodak will provide context and source materials for the course. We will pay special attention to the role of intellectual property rights in fostering or hindering innovation. The legal focus is primarily on U.S. law, but the course will occasionally address foreign regimes as well. The course is useful to students interested in marketing or competitive business strategy, and, more broadly, to anyone desiring to understand the legal and public policy issues relating to competition and innovation.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2050,University of Pennsylvania
LGST2070 ,Sports Business Mgmt,"This course examines various business disciplines as they apply to the sports industry. The course provides the student with an overview of the business of the intercollegiate, Olympic and professional sports enterprises. In addition, the course investigates the business related issues encountered by managers of sports organizations and covers how business principles can be applied to effectively address these issues.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2070,University of Pennsylvania
LGST2080 ,Law At Work: Emp Law Mgr,"This course is based on the principle that knowledge and understanding of employment law facilitate (1) promotion of a workforce with a high degree of commitment to reaching business goals, (2) the development of practical business solutions to problems arising in the workplace, (3) effective human resources policy and procedures that comply with applicable laws, and (4) justice for workers. The course provides students with an introduction to the law of the workforce and examines the balance between business goals and employment law compliance. The course examines the various employment laws with which businesses must comply and the legal rights and responsibilities of employees and employers. The emphasis is on laws concerning equal employment opportunity with respect to discrimination and harassment because of sex, race, national origin, religion, sexual orientation, age, disability and other characteristics protected by workforce laws; constitutional -- and especially free speech -- rights at work; work-related privacy including investigations, electronic communication and social media; classifying workers in the gig economy; diversity and affirmative action; and the legal and regulatory environment regarding immigration, wage and hour, leaves of absence, hiring, termination and afterwards; and labor/management relations and collective bargaining.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2080,University of Pennsylvania
LGST2120 ,Economic Analysis of Law,"This course provides an introduction to the economic analysis of law and legal institutions. Our goal is develop intuitions about the ways law simultaneously shapes and responds to private behavioral incentives. In the first half of the course, we will survey the application of key economic concepts to basic features of the Anglo-American common law of property, contract, and tort. In the second half of the course, we will use the tools developed in our survey to focus in depth on the law of intellectual property.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2120,University of Pennsylvania
LGST2130 ,Leg Asp Entreprenship,"This practically oriented course examines the critical legal issues confronting start-ups with a focus on innovation and disruption. Cutting edge topics include blockchain, fintech, AI, digital and mobile based issues. Students will learn to use the law to manage risk, deploy resources and maximize value. The course covers the entire lifecycle of a business, including confidentiality, non-competition and invention assignment clauses, intellectual property (IP) including patent, trade secrets, copyrights and trademarks, tax advantages of limited liability companies (LLC) vs. corporations or partnerships, securities law strategy for raising angel financing, convertible debt and venture capital (covering SAFEs and KISSes), independent contractor vs. employee concerns, discrimination laws, merger and acquisition exit plans, as well as restructuring and bankruptcy. Students will emerge from the course with the skills and tools to draft term sheets and contracts, negotiate deals tailored to their business models, as well as mitigate liability via risk-protective policies, insurance and management of litigation. The course fulfills elective requirements for 5 Concentrations, Majors, or Minors: * Wharton Legal Studies and Business Ethics; * Wharton Entrepreneurship and Innovation/Managment; * Wharton Social Impact and Responsibility; * SAS Legal Studies Minor; * SAS STSC Major (Science, Technology and Society)--with permission.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2130,University of Pennsylvania
LGST2140 ,Int'l Bus Transactions,"This course aims to familiarize students with and prepare students for the conduct of international transactions. Students will work their way through a series of hypothetical trade transactions, placed against a background of concepts and general theories. Students will take a hypothetical firm through a series of possible transnational investments, again after discussion of concepts and general theories. Throughout, the course will discuss issues of importance to emerging economies. Students should be able to make thoughtful choices rather than simply reciting bullet points about international business transactions.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2140,University of Pennsylvania
LGST2150 ,Envt'l Mgmt Law & Pol,"This course provides an introduction to environmental management by focusing on foundational concepts of environmental law and policy and how they affect business decisions. The primary aim of the course is to give students a deeper practical sense of the important relationship between business and the natural environment, the existing legal and policy framework of environmental protection, and how business managers can think about managing their relationship with both the environment and the law.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2150,University of Pennsylvania
LGST2160 ,Emerging Economies ,"This course explores important issues in conducting business internationally in and with emerging economies. Much of the course attempts to define emerging economies and to understand the changes occurring in these countries. The course also examines the position of emerging economies in the global context, and how broad social issues affect the development of emerging economies and the ability to establish relationships or conduct business in emerging economies.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2160,University of Pennsylvania
LGST2180 ,Diversity & the Law,"The goal of this course is to study the role the law has played, and continues to play, in addressing the problems of racial discrimination in the United States. Contemporary issues such as racial profiling, affirmative action, and diversity will all be covered in their social and legal context. The basis for discussion will be assigned texts, articles, editorials and cases. In addition, interactive videos will also be used to aid class discussion. Course requirements will include a term paper and class case presentations.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2180,University of Pennsylvania
LGST2190 ,Law & Pol in Int'l Bus,"This course introduces students to the legal frameworks for regulating international business - national, regional, and international. Topics include mechanisms for dispute resolution, different standards on assigning nationality, jurisdictional and choice of law problems, controversies regarding the treatment of incoming foreign direct investment and expropriation of foreign-owned businesses, patterns in extraterritoriality, problems of clashing legal standards affecting areas like labor and the environment, and projects for creating more uniform rules governing the conduct of international business. Throughout students will be encouraged to evaluate the policy dimensions of laws and to develop their own critical perspectives regarding these.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2190,University of Pennsylvania
LGST2200 ,Int'l Business Ethics,"This course is a multidisciplinary, interactive study of business ethics within a global economy. A central aim of the course is to enable students to develop a framework to address ethical challenges as they arise within and across different countries. Alternative theories about acting ethically in global environments are presented, and critical current issues are introduced and analyzed. Examples include bribery, global sourcing, environmental sustainability, social reports, intellectual property, e-commerce, and dealing with conflicting standards and values across cultures. As part of this study, the course considers non-Western ethical traditions and practices as they relate to business.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2200,University of Pennsylvania
LGST2210 ,Const Law & Free Enterpr,"The course explores the fundamentals of U.S. constitutional doctrine and adjudication, with an emphasis on commercial and business issues and implications of constitutional law. The course starts by considering the Constitution and the structure and relationship of the governmental entities it establishes and upon which it depends. Special attention is given to the role of the federal courts, especially the Supreme Court, in interpreting and applying constitutional principles. From this foundation, the course moves on to examine in detail the major economic and business implications of constitutional law in different eras of the nation's history. A core theme is how historical events and changing notions of public policy have affected and been affected by the evolution of constitutional doctrine.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2210,University of Pennsylvania
LGST2220 ,Internet Law Priv Cyber,"This course examines the complex and often novel legal issues surrounding the development and current state of the Internet, information privacy, and cybersecurity. Topics include federal- and state-level regulation and enforcement of Internet and privacy legal concepts, data breaches, online privacy protections, how to legally manage a borderless Internet, and the liability of intermediaries such as network operators, social media services, and search engines.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2220,University of Pennsylvania
LGST2230 ,Securities Regulation,"The course examines the federal securities laws and the operation of the Securities Exchange Commission. The legal responsibilities of corporate managers, accountants, underwriters, and broker-dealers, occasioned by the securities regulatory scheme, will be investigated. Students will be encouraged to evaluate, from a managerial perspective, the various aspects of securities regulation studied. The course will discuss the recent financial crisis and ask the question whether enhanced securities regulation will prevent such a crisis in the future. The material covered in the course will provide familiarity with the basic legal structure of securities regulation and will assist in understanding the current policy issues in securities law. The course should help students to develop the ability to read and learn further in the field and to improve their effectiveness of communication with attorneys. It will also suggest ways of detecting instances in which an attorney should be consulted. The course is particularly useful for those students pursuing careers in corporate finance, investment banking, mergers and acquisitions, sales and trading, venture capital, private equity, entrepreneurship, accounting, corporate management, and real estate.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2230,University of Pennsylvania
LGST2240 ,Human Rts&Globalization,"The 2000 UN Global Compact has confirmed the role of TNCs as central actors in the UN system of international human rights law, but whether their role should be voluntary or legally mandated remains in dispute. This course introduces students to how globalization has led to projects for expanding international human rights law to capture the operations of TNCs and why this development is opposed in many quarters. Competing perspectives on the pros and cons of imposing human rights responsibilities on TNCs and on the respective roles that businesses and governments should play will be examined. The Positions of various governments, businesses, international institutions, academics, and NGOs will be considered, and a number of illustrative case studies will be analyzed.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2240,University of Pennsylvania
LGST2260 ,"Markets,Morality&Capital","This course invites students to carefully evaluate one of the fundamental building blocks of capitalism, namely the institution of markets. What is the point of markets? In what ways do markets free us and in what ways do they constrain us? Are there some goods for which it is wrong to have a market? Are markets somehow undemocratic? Is equality compatible with the existence of markets? In reflecting on these questions we will necessarily also be reflecting on the basic structure of our own societies. This course will develop your ability to make and evaluate arguments, both in writing and in conversation, and thereby help you think clearly and critically about politics and society. It will also expose you to an array of arguments from across the political spectrum that will present powerful challenges to your existing beliefs and thereby force you to consider what you really believe and why. Grades will be based on two papers and class participation.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2260,University of Pennsylvania
LGST2270 ,Literature of Success,"This course explores the history, literature, and philosophy of two age-old questions: what does it mean to be successful and how does one achieve this elusive goal? It surveys some of the classics of the ""success"" genre - from Benjamin Franklin's Autobiography in the 18th century to Dale Carnegie's How to Win Friends and Influence People and Marcus Buckingham's Now, Discover Your Strengths in the 20th and 21st centuries. Case studies of remarkable achievements in business and society and Arthur Miller's play Death of a Salesman provide additional contexts within which to reflect on the questions at the center of the course. Students will keep a personal journal and use web-based tools to examine their own character strengths, talents, and achievement orientations. Grading is based on class attendance and participation, reading response papers, personal journals on assigned topics involving self reflection, a mid-term paper on an assigned research subject related to success, and a final, longer paper exploring, based on course readings and original research, each students personal philosophy of success. No final exam.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2270,University of Pennsylvania
LGST2280 ,Sports Law,"This course focuses on the areas of association, contract, constitutional, labor, antitrust, and agency law as they apply to the sports industry. This course exposes the student to many of the legal issues facing stakeholders in sport organizations. Special attention is given to the regulation of professional sports leagues promoting competitive balance, as well as antitrust law and labor-management relations dealing with the organization structure of sports leagues. The course also takes an inside look at previous and newly formed collective bargaining agreements and the use of Salary Cap or lack thereof in professional sports leagues. The development of effective communication skills will be emphasized through class presentations, written assignments, and quizzes; leadership and interpersonal communications will be cultivated through small group projects and meetings, and critical thinking and problem solving skills will be fostered through the careful study of case law impacting the sports industry in a variety of facets.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2280,University of Pennsylvania
LGST2300 ,Social Impact & Resp,"What role can business play in helping to meet global societal needs, whether it involves the environment, improving health, expanding education or eradicating poverty? Is there any responsibility on the part of business to help meet those needs? What are models of successful business engagement in this area? How should success be measured? Are there limits to what businesses can and should do, and what institutional changes will enable businesses and entrepreneurs to better succeed? This survey course provides students the opportunity to engage in the critical analysis of these and other questions that lie at the foundation of social impact and responsibility as an area of study. The course involves case studies, conceptual issues, and talks by practitioners. The course is designed to help students develop a framework to address the question: How should business enterprises and business thinking be engaged to improve society in areas not always associated with business? The course is required for the secondary concentration in Social Impact and Responsibility",https://apps.wharton.upenn.edu/syllabi/?course=LGST2300,University of Pennsylvania
LGST2410 ,Business Enterprise,"What is a business firm? How did various forms of business, including the corporation, arise historically? How do contemporary economic and financial theories explain how business firms evolve, grow, and die? What are the legal underpinnings of the forms of business enterprise, ranging from sole proprietorships to partnerships to family-owned enterprises to multinational corporate groups? How do business firms relate to politics and government, as well as religion? What about the environment? This interdisciplinary course offers an introduction to pursuing answers to these questions. Students will gain perspective on the nature of business enterprises from different points of view that will be useful in further research, as well as having practical application. Ubiquitous economic concepts such as agency costs, principal-agent relationships, transaction costs, and influence costs will be studied. Different legal structures of firms will also be introduced, including new hybrid organizations such as benefit corporations, which seek to meld non-profit and profit objectives. In the course, we will read high-profile U.S. Supreme Court cases such as Citizens United and Hobby Lobby and debate appropriate boundaries (or not) between business and politics, as well as business and religion. Business ethics and the nature of any social responsibilities owed by business and business people will be topics too.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2410,University of Pennsylvania
LGST2420 ,"Big Data, Big Resp","Significant technologies always have unintended consequences, and their effects are never neutral. A World of ubiquitous data, subject to ever more sophisticated collection, aggregation, and analysis, creates massive opportunities for both financial gain and social good. It also creates dangers in areas such as privacy, security, discrimination, exploitation, and inequality, as well as simple hubris about the effectiveness of management by algorithm. Firms that anticipate the risks of these new practices will be best positioned to avoid missteps. This course introduces students to the legal, policy, and ethical dimensions of big data, predictive analytics, and related techniques. It then examines responses-both private and governmental-that may be employed to address these concerns.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2420,University of Pennsylvania
LGST2430 , Other People's Money,"We learn in introductory economics courses that money is fungible: that is, one dollar is as good as the next. Indeed, using money as a ""medium of exchange"" is one of its defining characteristics. But what happens when we take a big pile of money and put it in different buckets. On one bucket we might write ""hedge fund""; on another, ""central bank""; on still another, ""payday lender."" Then money starts to change in ways defined by law, history, ethics, and politics. This course will take you on a tour of these different buckets--different kinds of financial institutions, broadly defined--throughout the modern financial system. We will look at hedge funds, insurance companies, investment banks, sovereign wealth funds, central banks, consumer banks, payday lenders, state-sponsored enterprises (like the Export-Import Bank in the United States and much of the financial system in China), and the cutting edge of fintech, including crowd-funded lending, digital currencies, and more. In each case, students will be exposed to a series of specialized questions: Where did this institution come from? What problem is it trying to solve that other alternatives could not resolve? What is the basic business (or, where relevant, regulatory) model for each institution? How is each institution regulated, and by whom? What are the ethical considerations in each context? What are the political considerations that each market participant faces?",https://apps.wharton.upenn.edu/syllabi/?course=LGST2430,University of Pennsylvania
LGST2440,Blockchain/Cryptocurrenc,"Blockchain techonology is a form of decentralized database that allows for the secure exchange of value without reliance on trusted intermediaries. Blockchain is the foundation for cryptocurrencies such as Bitcoin, as well as for distributed ledger platforms used by enterprise consortia in various industries. Many believe that blockchain solutions have revolutionary potential. They promise to replace legal enforcement with technical mechanisms of cryptographic consensus as the means of generating trust. The technology has generated significant excitement, investment, and entrepreneurial activity in recent years. However, the business value of blockchain-based solutions is uncertain, cryptocurrency valuations are speculative, and there are serious legal, regulatory, and governance challenges to be addressed. This course is designed to give students the tools for critical assessment of ongoing developments in this evolving area.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2440,University of Pennsylvania
LGST2450 ,"Bus, Law, & Democracy","What is the relationship between business and democracy? Do institutions of free enterprise depend on democratic government-and vice versa? Do more democratic decision-making structure enhance efficient outcomes? What priniciples inform shareholder democracy? What is the relationship of business, democracy, and the rule of law? This course explores various dimensions of the relationship between business and democracy. Particular attention is given to legal structures that govern the relationship, but ethical considerations are examined as well.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2450,University of Pennsylvania
LGST2470 ,Value of Values: Eth Bus,"This course explores the concepts of value and values in economic life. All strategic and many tactical decisions begin with a value proposition of some kind. Investors, customers, employees, suppliers, and community members are potential sources of value in the creation, exchange, distribution and sale of a good or service. This course examines different conceptions of ""value/values"" in business life and the role they play in interpreting issues such as artificial intelligence, corporate governance, business and professional education, international business, value theory, and personal values. The class will utilize a combination of theoretical readings, class exercises, student presentations and case discussions.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2470,University of Pennsylvania
LGST2600,Climate Environment Leadership,"This course aims to engage undergraduate students at Wharton with fundamental questions at the intersection of climate change, environmental management, ethics, and leadership. Important questions we will address include: (1) What can we learn about leadership from being in “the environment” or “the field” that we cannot as easily learn in other settings? (2) What does it mean to be a leader in the area of climate change and environmental management at a for-profit business firm? A non-profit organization? A social enterprise/benefit corporation? Within this overarching theme of environmental and climate leadership, the course examines a concrete set of timely topics through readings, discussions, guest speakers, and written assignments, including: environmental management and a circular economy; product stewardship; extended producer responsibility; environmental personhood; greenwashing; and the different types of firms and organizations in this space, including for-profit corporations, benefit corporations/social enterprises; and non-profits. The course begins with six classroom sessions on these issues with assignments and readings run and graded by Professor Light. The culminating event of the course is a weeklong Leadership Venture – a camping expedition during spring break that will include a combination of cycling, paddling, hiking and discussions about leadership and the environment.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2600,University of Pennsylvania
LGST2910 ,Negotiations ,"This course examines the art and science of negotiation, with additional emphasis on conflict resolution. Students will engage in a number of simulated negotiations ranging from simple one-issue transactions to multi-party joint ventures. Through these exercises and associated readings, students explore the basic theoretical models of bargaining and have an opportunity to test and improve their negotiation skills.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2910,University of Pennsylvania
LGST2920 ,Advanced Negotiation,"This course is designed to teach negotiation principles and to enable students to develop their negotiation skills. This course assumes familiarity with the basic negotiation concepts covered in the prerequisite for this course: Negotiations. In this course, we extend the study and practice of negotiations and we develop a deeper understanding for how specific aspects of the negotiation process (e.g., emotions, deadlines, trust violations) impact outcomes. Through course lectures, readings, and case exercises, students will develop a rich framework for thinking about the negotiation process and acquire tools for guiding the negotiation process.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2920,University of Pennsylvania
LGST2990 ,Seminar in Law & Society,"A study of the nature, functions, and limits of law as an agency of societal policy. Each semester an area of substantive law is studied for the purpose of examining the relationship between legal norms developed and developing in the area and societal problems and needs. Please see department for current offerings.",https://apps.wharton.upenn.edu/syllabi/?course=LGST2990,University of Pennsylvania
LGST4010 ,Global Social Impact,"This undergraduate capstone course, sponsored by the Legal Studies and Business Ethics Department, is a 7-week, .5 cu class designed to give Wharton seniors the chance to connect academic theory with complex real-world issues arising within the context of award-winning social enterprise projects identified by the World Bank's ""Ideas for Action Initiative."" The course by the Legal Studies and Business Ethics Department is jointly sponsored by the World Bank and Wharton's Zicklin Center for Business Ethics Research. The aim of the course is to integrate and strengthen students' academic skills by applying them in cross-functional ways to the production of real-world consulting reports for project founders. The course will also require students to grapple with current ethical and legal challenges that business organizations face, such as defining the purpose of a business, determining how to incorporate global standards like the Sustainable Development Goals or other Environmental, Social, and Governance (ESG) standards into a business plan, and designing mechanisms to promote ethical behavior and combat such systemic challenges as corruption.",https://apps.wharton.upenn.edu/syllabi/?course=LGST4010,University of Pennsylvania
LGST5240 ,Human Rts&Globalization,"The 2000 UN GLobal Compact has confirmed the role of TNCs as central actors in the UN system of international human rights law, but whether their role should be voluntary or legally mandated remains in dispute. This course introduces students to how globaliztion has led to projects for expanding international human rights law to capture the operations of TNCs and why this development is opposed in many quarters. Competing perspectives on the pros and cons of imposing human rights responsibilities on TNCs and on the respective roles that businesses and governments should play will be examined. The positions of various governments, businesses, international institutions, academics, and NGOs will be considered, and a number of illustrative case studies will be analyzed.",https://apps.wharton.upenn.edu/syllabi/?course=LGST5240,University of Pennsylvania
FNCE0001,Fin Markets and Economy,"This course aims to provide a timely framework to understand economic recessions and expansions and the financial markets' response to world events. The Covid recession reduced the size of the world's economies and output. What does this mean? How is output connected to employment? How are exchange rates determined in global capital markets? We will introduce the policy options of government spending. We will discuss, as data become available, the continuing impact of the coronavirus on the domestic and the global economy.",https://apps.wharton.upenn.edu/syllabi/?course=FNCE0001,University of Pennsylvania
FNCE0002, Essentials of Finance,"This course introduces students to the key financial concepts through the lens of personal financial decisions, centering on financing one's education, culminating in a capstone project evaluating student loan offers.",https://apps.wharton.upenn.edu/syllabi/?course=FNCE0002,University of Pennsylvania
FNCE1000,Corporate Finance,"This course provides an introduction to the theory, the methods, and the concerns of corporate finance. The concepts developed in FNCE 1000 form the foundation for all elective finance courses. The main topics include: 1) the time value of money and capital budgeting techniques; 2) uncertainty and the trade-off between risk and return; 3) security market efficiency; 4) optimal capital structure, and 5) dividend policy decisions. ACCT 1010 + STAT 1010 may be taken concurrently.",https://apps.wharton.upenn.edu/syllabi/?course=FNCE1000,University of Pennsylvania
FNCE1008,Corporate Finance (Honors),"This course provides an introduction to the theory, the methods, and the concerns of corporate finance. The concepts developed in FNCE 1000 form the foundation for all elective finance courses. The main topics include: 1) the time value of money and capital budgeting techniques; 2) uncertainty and the trade-off between risk and return; 3) security market efficiency; 4) optimal capital structure, and 5) dividend policy decisions. ACCT 1010 + STAT 1010 may be taken concurrently. Honors sections require MATH 1400 or MATH 1070 as a prerequisite. Application process.",https://apps.wharton.upenn.edu/syllabi/?course=FNCE1008,University of Pennsylvania
FNCE1010,Monetary Econ & Glob Eco,"This is an intermediate-level course in macroeconomics and the global economy, including topics in monetary and international economics. The goal is to provide a unified framework for understanding macroeconomic events and policy, which govern the global economic environment of business. The course analyzes the determinants and behavior of employment, production, demand and profits; inflation, interest rates, asset prices, and wages; exchange rates and international flows of goods and assets; including the interaction of the real economy with monetary policy and the financial system. The analysis is applied to current events, both in the US and abroad. Students cannot receive credit for taking both FNCE 1010 and ECON 2200. Wharton students are required to take FNCE 1010.",https://apps.wharton.upenn.edu/syllabi/?course=FNCE1010,University of Pennsylvania
